#Table1
ra,dec,u,g,r,i,z,type,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,flags,Column1
201.198553083319,48.4534534067786,14.71629,12.56515,12.13485,11.99299,13.04454,6,1.845321,1.64967,1.436775,1.424478,1.359798,448818512794120,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY MANYPETRO BLENDED 
201.198553081726,48.453453409785,14.44445,12.5726,12.14527,12.03676,12.75911,6,1.845321,1.64967,1.436775,1.424478,1.359798,483856285569040,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD 
201.519567929419,48.5773455226479,14.47467,14.2152,12.46418,12.37362,12.759,6,1.82614,1.619691,1.626388,1.406832,1.308855,451017536049160,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER BAD_MOVING_FIT_CHILD PEAKS_TOO_CLOSE STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED 
201.519567928776,48.577345523874,14.43748,14.21364,12.47044,12.38359,12.72897,6,1.82614,1.619691,1.626388,1.406832,1.308855,483854104530960,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 SATURATED INTERP COSMIC_RAY CHILD 
201.519574331352,48.5773508807262,14.55746,14.3037,12.47975,12.35882,12.8347,6,1.825673,1.620176,1.626499,1.405982,1.308091,448669799551050,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY NODEBLEND BLENDED BRIGHT 
201.197682710621,48.5220187063395,14.6559,13.01838,12.58515,12.4925,13.0537,6,1.85028,1.617361,1.423059,1.368659,1.358901,448669732438602,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY BINNED1 SATURATED INTERP MANYPETRO NODEBLEND BLENDED BRIGHT 
201.197683931816,48.5220216846419,14.61481,13.01322,12.58534,12.50331,13.01369,6,1.850343,1.615167,1.423064,1.368849,1.358984,483856285569040,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD 
201.197683931815,48.522021684643,14.61601,13.01366,12.58545,12.50314,13.01467,6,1.850343,1.615167,1.423064,1.368849,1.358984,448681073836552,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP MANYPETRO BLENDED 
201.798000124218,48.6236110027747,15.3036,13.48806,12.63352,12.45982,13.54101,6,1.287215,1.384047,1.150762,1.215903,0.9951432,453079120347656,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP MANYPETRO BLENDED 
201.798000124199,48.6236110027672,15.31099,13.48776,12.63356,12.45991,13.55396,6,1.287215,1.384047,1.150762,1.215903,0.9951432,483856252014608,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 SATURATED INTERP COSMIC_RAY CHILD 
201.823058568277,48.763005233129,15.24722,13.27998,12.74878,12.65464,13.73957,6,1.332303,1.307247,1.163964,1.181192,0.9769561,453078516367882,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX STATIONARY NODEBLEND_MOVING MOVED BINNED1 SATURATED INTERP MANYPETRO BLENDED BRIGHT 
201.823058569607,48.7630052336435,15.24677,13.31616,12.74931,12.65552,13.8576,6,1.332303,1.307247,1.163964,1.181192,0.9769561,483856252011026,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 SATURATED INTERP MANYPETRO CHILD BRIGHT 
201.823057262293,48.7629979062772,15.11232,13.27515,12.7625,12.67248,13.58329,6,1.332704,1.30736,1.164485,1.181565,0.9783592,448681006727688,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 SATURATED INTERP MANYPETRO BLENDED 
201.823057308966,48.7629979030097,15.12162,13.26685,12.76626,12.68093,13.6643,6,1.332704,1.30736,1.164485,1.181565,0.9783592,483856285569040,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD 
201.690467298831,48.4494138674703,14.51875,13.17593,12.79185,14.42767,12.67878,6,1.714773,1.613124,1.551542,1.495619,1.362393,483856285569042,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP DEBLENDED_AT_EDGE INTERP_CENTER SATUR_CENTER STATIONARY MOVED BINNED1 DEBLENDED_AS_PSF SATURATED INTERP COSMIC_RAY CHILD BRIGHT 
201.823081987244,48.7629815075016,14.71099,13.32063,12.81751,14.23513,13.08841,6,1.773962,1.601237,1.474613,1.506769,1.405396,453078516371466,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER DEBLEND_UNASSIGNED_FLUX STATIONARY NODEBLEND_MOVING MOVED BINNED1 SATURATED INTERP COSMIC_RAY BLENDED BRIGHT 
201.823097342664,48.7629804329705,14.63435,13.28991,12.81762,14.29916,13.02629,6,1.775383,1.599183,1.474786,1.50622,1.40587,448681073840136,TOO_FEW_GOOD_DETECTIONS PSF_FLUX_INTERP INTERP_CENTER SATUR_CENTER STATIONARY NODEBLEND_MOVING MOVED BINNED2 BINNED1 DEBLEND_PRUNED SATURATED INTERP COSMIC_RAY BLENDED 
